,run_id,iteration,save_dt,u,l,q,dt,dx,elem,t_end,ane_0_velocity_vol_avg
,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.08,0.5,0,0,2e-05,0.1,50000,0.8,0.07879407479315438
1,2,0,0.04,0.5,0,0,2e-05,0.1,50000,0.8,0.07834610422279305
2,3,0,0.02,0.5,0,0,2e-05,0.1,50000,0.8,0.08023546350759232
3,4,0,0.016,0.5,0,0,2e-05,0.1,50000,0.8,0.08045571309163499
4,5,0,0.013333333333333334,0.5,0,0,2e-05,0.1,50000,0.8,0.08125919374178371
5,6,0,0.008,0.5,0,0,2e-05,0.1,50000,0.8,0.08099839103175391
6,7,0,0.004,0.5,0,0,2e-05,0.1,50000,0.8,0.08125309778379694
7,8,0,0.0016,0.5,0,0,2e-05,0.1,50000,0.8,0.08140901587164975
